127.0.0.1 - - [13/Aug/2018:14:44:12 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/ HTTP/1.1" 200 3726
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/css/bootstrap.min.css HTTP/1.1" 200 121268
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/css/angular-datatables.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/css/font-awesome.min.css HTTP/1.1" 200 29065
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/css/jquery-ui.css HTTP/1.1" 200 37311
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/css/style.css HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/jquery.min.js HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular.min.js HTTP/1.1" 200 160325
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular-animate.min.js HTTP/1.1" 200 25725
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular-cookies.js HTTP/1.1" 200 10059
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular-aria.min.js HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular-sanitize.js HTTP/1.1" 200 27569
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular-messages.min.js HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular-spinners.min.js HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/jquery.marquee.min.js HTTP/1.1" 200 5658
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/jquery-ui.min.js HTTP/1.1" 200 240039
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/libs/angular-datatables.min.js HTTP/1.1" 200 14286
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:44 +0530] "GET /demo/js/angular/main.js HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/images/nav-bar.png HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/API/CONTENTLISTINGPAGE-PAGE1.json HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/images/search.png HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/images/Back.png HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/images/poster1.jpg HTTP/1.1" 200 80056
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/images/poster3.jpg HTTP/1.1" 200 58207
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /demo/images/poster2.jpg HTTP/1.1" 200 81262
0:0:0:0:0:0:0:1 - - [13/Aug/2018:14:44:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
